directory => accepted comment count   Unaccepted comment count
 drivers/net/ipvlan => 0    0
 drivers/net/vmxnet3 => 0    30
 drivers/net/ipa => 157    1
 drivers/net/wan/lmc => 0    133
 drivers/net/wan => 41    231
 drivers/net/phy/mscc => 0    0
 drivers/net/phy => 224    37
 drivers/net/wireless/mediatek/mt7601u => 4    0
 drivers/net/wireless/mediatek/mt76/mt7603 => 0    2
 drivers/net/wireless/mediatek/mt76/mt76x2 => 0    0
 drivers/net/wireless/mediatek/mt76/mt7615 => 1    3
 drivers/net/wireless/mediatek/mt76/mt76x0 => 0    1
 drivers/net/wireless/mediatek/mt76/mt7915 => 0    8
 drivers/net/wireless/mediatek/mt76 => 5    9
 drivers/net/wireless/mediatek => 0    0
 drivers/net/wireless/st/cw1200 => 1    0
 drivers/net/wireless/st => 0    0
 drivers/net/wireless/ralink/rt2x00 => 98    2082
 drivers/net/wireless/ralink => 0    0
 drivers/net/wireless/cisco => 50    66
 drivers/net/wireless/marvell/libertas => 112    169
 drivers/net/wireless/marvell/mwifiex => 1    485
 drivers/net/wireless/marvell/libertas_tf => 20    7
 drivers/net/wireless/marvell => 0    82
 drivers/net/wireless/ti/wl18xx => 0    31
 drivers/net/wireless/ti/wl1251 => 27    102
 drivers/net/wireless/ti/wl12xx => 20    39
 drivers/net/wireless/ti/wlcore => 7    312
 drivers/net/wireless/ti => 0    0
 drivers/net/wireless/intel/iwlegacy => 170    464
 drivers/net/wireless/intel/ipw2x00 => 29    118
 drivers/net/wireless/intel/iwlwifi/queue => 4    31
 drivers/net/wireless/intel/iwlwifi/dvm => 100    375
 drivers/net/wireless/intel/iwlwifi/pcie => 28    163
 drivers/net/wireless/intel/iwlwifi/mvm => 97    459
 drivers/net/wireless/intel/iwlwifi/fw/api => 635    48
 drivers/net/wireless/intel/iwlwifi/fw => 90    32
 drivers/net/wireless/intel/iwlwifi/cfg => 8    19
 drivers/net/wireless/intel/iwlwifi => 137    110
 drivers/net/wireless/intel => 0    0
 drivers/net/wireless/realtek/rtw88 => 1    0
 drivers/net/wireless/realtek/rtlwifi/rtl8821ae => 65    1
 drivers/net/wireless/realtek/rtlwifi/rtl8723ae => 11    1
 drivers/net/wireless/realtek/rtlwifi/rtl8192c => 5    0
 drivers/net/wireless/realtek/rtlwifi/rtl8192ee => 21    0
 drivers/net/wireless/realtek/rtlwifi/rtl8192de => 4    4
 drivers/net/wireless/realtek/rtlwifi/rtl8723be => 14    0
 drivers/net/wireless/realtek/rtlwifi/rtl8723com => 0    0
 drivers/net/wireless/realtek/rtlwifi/btcoexist => 52    0
 drivers/net/wireless/realtek/rtlwifi/rtl8192ce => 0    3
 drivers/net/wireless/realtek/rtlwifi/rtl8188ee => 14    0
 drivers/net/wireless/realtek/rtlwifi/rtl8192se => 0    0
 drivers/net/wireless/realtek/rtlwifi/rtl8192cu => 15    3
 drivers/net/wireless/realtek/rtlwifi => 31    29
 drivers/net/wireless/realtek/rtl8xxxu => 0    156
 drivers/net/wireless/realtek/rtl818x/rtl8180 => 0    6
 drivers/net/wireless/realtek/rtl818x/rtl8187 => 0    9
 drivers/net/wireless/realtek/rtl818x => 1    0
 drivers/net/wireless/realtek => 0    0
