directory => accepted comment count   Unaccepted comment count
File   drivers/net/macvtap.c => 0    1
File   drivers/net/ifb.c => 1    0
File   drivers/net/ipvlan/ipvlan_core.c => 0    0
File   drivers/net/ipvlan/ipvlan.h => 0    0
File   drivers/net/ipvlan/Makefile => 0    0
File   drivers/net/ipvlan/ipvlan_l3s.c => 0    0
File   drivers/net/ipvlan/ipvlan_main.c => 0    0
File   drivers/net/ipvlan/ipvtap.c => 0    0
  drivers/net/ipvlan => 0    0
File   drivers/net/vmxnet3/Makefile => 0    0
File   drivers/net/vmxnet3/vmxnet3_defs.h => 0    2
File   drivers/net/vmxnet3/upt1_defs.h => 0    0
File   drivers/net/vmxnet3/vmxnet3_int.h => 0    3
File   drivers/net/vmxnet3/vmxnet3_ethtool.c => 0    1
File   drivers/net/vmxnet3/vmxnet3_drv.c => 0    24
  drivers/net/vmxnet3 => 0    30
File   drivers/net/ipa/ipa_qmi.c => 1    0
File   drivers/net/ipa/ipa_data-sc7180.c => 0    0
File   drivers/net/ipa/ipa_gsi.h => 4    0
File   drivers/net/ipa/ipa_mem.h => 2    0
File   drivers/net/ipa/Makefile => 0    0
File   drivers/net/ipa/ipa_reg.h => 3    0
File   drivers/net/ipa/ipa_gsi.c => 0    0
File   drivers/net/ipa/ipa_version.h => 1    0
File   drivers/net/ipa/ipa_table.c => 3    1
File   drivers/net/ipa/ipa_cmd.c => 2    0
File   drivers/net/ipa/ipa_data-sdm845.c => 0    0
File   drivers/net/ipa/Kconfig => 0    0
File   drivers/net/ipa/ipa_modem.c => 0    0
File   drivers/net/ipa/gsi.h => 9    0
File   drivers/net/ipa/ipa_cmd.h => 14    0
File   drivers/net/ipa/ipa_reg.c => 0    0
File   drivers/net/ipa/ipa_mem.c => 5    0
File   drivers/net/ipa/ipa_endpoint.c => 5    0
File   drivers/net/ipa/ipa_main.c => 12    0
File   drivers/net/ipa/ipa_data.h => 13    0
File   drivers/net/ipa/gsi_reg.h => 1    0
File   drivers/net/ipa/ipa_interrupt.c => 1    0
File   drivers/net/ipa/ipa_uc.h => 3    0
File   drivers/net/ipa/ipa_smp2p.c => 3    0
File   drivers/net/ipa/ipa_clock.h => 6    0
File   drivers/net/ipa/gsi.c => 7    0
File   drivers/net/ipa/ipa_qmi_msg.c => 0    0
File   drivers/net/ipa/ipa_qmi.h => 1    0
File   drivers/net/ipa/ipa_interrupt.h => 9    0
File   drivers/net/ipa/ipa_smp2p.h => 4    0
File   drivers/net/ipa/gsi_trans.h => 17    0
File   drivers/net/ipa/gsi_trans.c => 2    0
File   drivers/net/ipa/ipa.h => 3    0
File   drivers/net/ipa/gsi_private.h => 11    0
File   drivers/net/ipa/ipa_clock.c => 2    0
File   drivers/net/ipa/ipa_table.h => 10    0
File   drivers/net/ipa/ipa_uc.c => 2    0
