directory => accepted comment count   Unaccepted comment count
File   net/mptcp/mptcp_diag.c => 0    0
File   net/mptcp/Makefile => 0    0
File   net/mptcp/protocol.c => 0    0
File   net/mptcp/subflow.c => 0    0
File   net/mptcp/mib.h => 0    0
File   net/mptcp/Kconfig => 0    0
File   net/mptcp/token_test.c => 0    0
File   net/mptcp/ctrl.c => 0    0
File   net/mptcp/diag.c => 0    0
File   net/mptcp/crypto.c => 0    0
File   net/mptcp/pm.c => 0    0
File   net/mptcp/options.c => 0    0
File   net/mptcp/pm_netlink.c => 0    0
File   net/mptcp/crypto_test.c => 0    0
File   net/mptcp/token.c => 7    0
File   net/mptcp/mib.c => 0    0
File   net/mptcp/syncookies.c => 0    0
File   net/mptcp/protocol.h => 0    0
  net/mptcp => 7    0
File   net/openvswitch/actions.c => 0    0
File   net/openvswitch/flow_table.c => 0    1
File   net/openvswitch/vport-gre.c => 0    0
File   net/openvswitch/vport-internal_dev.c => 0    0
File   net/openvswitch/Makefile => 0    0
File   net/openvswitch/meter.h => 0    0
File   net/openvswitch/flow_netlink.c => 2    1
File   net/openvswitch/Kconfig => 0    0
File   net/openvswitch/vport-netdev.c => 0    0
File   net/openvswitch/vport.c => 14    0
File   net/openvswitch/conntrack.c => 0    0
File   net/openvswitch/vport.h => 6    0
File   net/openvswitch/flow.h => 0    0
File   net/openvswitch/flow.c => 3    0
File   net/openvswitch/dp_notify.c => 0    0
File   net/openvswitch/datapath.c => 1    0
File   net/openvswitch/conntrack.h => 0    0
File   net/openvswitch/vport-vxlan.c => 0    0
File   net/openvswitch/flow_table.h => 0    0
File   net/openvswitch/flow_netlink.h => 0    0
File   net/openvswitch/vport-netdev.h => 0    0
File   net/openvswitch/meter.c => 0    0
File   net/openvswitch/vport-geneve.c => 1    0
File   net/openvswitch/datapath.h => 6    0
File   net/openvswitch/vport-internal_dev.h => 0    0
  net/openvswitch => 33    2
File   net/sunrpc/svcsock.c => 7    23
File   net/sunrpc/timer.c => 3    0
File   net/sunrpc/svcauth.c => 2    1
File   net/sunrpc/svcauth_unix.c => 2    3
File   net/sunrpc/sunrpc.h => 1    2
File   net/sunrpc/auth_null.c => 0    5
File   net/sunrpc/Makefile => 0    0
File   net/sunrpc/sched.c => 6    45
File   net/sunrpc/clnt.c => 21    50
File   net/sunrpc/sunrpc_syms.c => 0    0
File   net/sunrpc/socklib.h => 0    0
File   net/sunrpc/Kconfig => 0    0
File   net/sunrpc/addr.c => 4    4
File   net/sunrpc/xprt.c => 45    15
File   net/sunrpc/xprtrdma/backchannel.c => 6    0
File   net/sunrpc/xprtrdma/frwr_ops.c => 12    0
File   net/sunrpc/xprtrdma/svc_rdma_backchannel.c => 2    0
File   net/sunrpc/xprtrdma/Makefile => 0    0
File   net/sunrpc/xprtrdma/xprt_rdma.h => 2    11
File   net/sunrpc/xprtrdma/svc_rdma_rw.c => 18    0
File   net/sunrpc/xprtrdma/svc_rdma.c => 0    1
File   net/sunrpc/xprtrdma/svc_rdma_sendto.c => 21    0
File   net/sunrpc/xprtrdma/svc_rdma_pcl.c => 5    0
File   net/sunrpc/xprtrdma/verbs.c => 26    3
File   net/sunrpc/xprtrdma/svc_rdma_transport.c => 2    7
File   net/sunrpc/xprtrdma/rpc_rdma.c => 7    3
File   net/sunrpc/xprtrdma/module.c => 0    0
File   net/sunrpc/xprtrdma/svc_rdma_recvfrom.c => 12    0
File   net/sunrpc/xprtrdma/transport.c => 14    4
  net/sunrpc/xprtrdma => 127    29
File   net/sunrpc/xdr.c => 32    7
File   net/sunrpc/sysctl.c => 0    1
File   net/sunrpc/auth.c => 8    10
File   net/sunrpc/auth_unix.c => 0    4
File   net/sunrpc/xprtmultipath.c => 13    1
File   net/sunrpc/xprtsock.c => 31    28
File   net/sunrpc/auth_gss/Makefile => 0    0
File   net/sunrpc/auth_gss/gss_krb5_unseal.c => 0    3
File   net/sunrpc/auth_gss/gss_krb5_wrap.c => 0    6
File   net/sunrpc/auth_gss/gss_mech_switch.c => 5    1
File   net/sunrpc/auth_gss/gss_generic_token.c => 0    2
File   net/sunrpc/auth_gss/gss_rpc_upcall.c => 0    7
File   net/sunrpc/auth_gss/auth_gss.c => 2    18
File   net/sunrpc/auth_gss/gss_rpc_xdr.h => 0    0
File   net/sunrpc/auth_gss/gss_krb5_seqnum.c => 0    1
File   net/sunrpc/auth_gss/gss_krb5_mech.c => 0    4
File   net/sunrpc/auth_gss/gss_rpc_xdr.c => 0    0
File   net/sunrpc/auth_gss/gss_krb5_seal.c => 0    3
File   net/sunrpc/auth_gss/trace.c => 0    0
File   net/sunrpc/auth_gss/gss_rpc_upcall.h => 0    0
File   net/sunrpc/auth_gss/gss_krb5_keys.c => 0    5
File   net/sunrpc/auth_gss/gss_krb5_crypto.c => 0    6
File   net/sunrpc/auth_gss/svcauth_gss.c => 1    10
  net/sunrpc/auth_gss => 8    66
File   net/sunrpc/cache.c => 0    13
File   net/sunrpc/debugfs.c => 0    0
File   net/sunrpc/stats.c => 4    3
File   net/sunrpc/rpc_pipe.c => 11    7
File   net/sunrpc/rpcb_clnt.c => 3    18
File   net/sunrpc/svc.c => 4    42
File   net/sunrpc/netns.h => 0    0
File   net/sunrpc/socklib.c => 5    1
File   net/sunrpc/backchannel_rqst.c => 2    11
File   net/sunrpc/svc_xprt.c => 7    22
  net/sunrpc => 211    316
File   net/rose/Makefile => 0    0
File   net/rose/rose_loopback.c => 0    0
File   net/rose/rose_in.c => 0    6
File   net/rose/rose_dev.c => 0    0
File   net/rose/rose_timer.c => 0    1
File   net/rose/sysctl_net_rose.c => 0    0
File   net/rose/rose_out.c => 0    5
File   net/rose/rose_link.c => 0    6
File   net/rose/rose_route.c => 0    28
File   net/rose/af_rose.c => 0    24
File   net/rose/rose_subr.c => 0    7
  net/rose => 0    77
File   net/bridge/br_mrp_netlink.c => 0    0
File   net/bridge/br_mrp.c => 0    0
File   net/bridge/br_netlink_tunnel.c => 0    0
File   net/bridge/br_private_stp.h => 0    0
File   net/bridge/br_nf_core.c => 0    1
File   net/bridge/br_stp_timer.c => 0    1
File   net/bridge/br_private_cfm.h => 0    0
File   net/bridge/br_vlan_options.c => 0    0
File   net/bridge/br_sysfs_br.c => 0    3
File   net/bridge/br_mrp_switchdev.c => 0    0
File   net/bridge/br_input.c => 0    2
File   net/bridge/Makefile => 0    0
File   net/bridge/br_private_tunnel.h => 0    0
File   net/bridge/br_stp_if.c => 0    0
File   net/bridge/Kconfig => 0    0
File   net/bridge/br_vlan_tunnel.c => 0    0
File   net/bridge/br_multicast.c => 3    1
File   net/bridge/br_device.c => 0    0
File   net/bridge/br_netfilter_hooks.c => 0    0
File   net/bridge/br_arp_nd_proxy.c => 0    0
File   net/bridge/br_vlan.c => 0    0
File   net/bridge/br_switchdev.c => 0    0
File   net/bridge/br_netfilter_ipv6.c => 0    0
File   net/bridge/br_private_mrp.h => 0    0
File   net/bridge/br_stp.c => 0    0
File   net/bridge/br_mdb.c => 0    0
File   net/bridge/br_sysfs_if.c => 0    1
File   net/bridge/br_fdb.c => 0    1
File   net/bridge/br_if.c => 0    2
File   net/bridge/netfilter/nft_meta_bridge.c => 0    0
File   net/bridge/netfilter/ebt_snat.c => 0    0
File   net/bridge/netfilter/ebt_nflog.c => 0    0
File   net/bridge/netfilter/ebt_log.c => 0    0
File   net/bridge/netfilter/ebt_ip.c => 0    0
File   net/bridge/netfilter/ebt_arp.c => 0    0
File   net/bridge/netfilter/Makefile => 0    0
File   net/bridge/netfilter/nf_log_bridge.c => 0    0
File   net/bridge/netfilter/ebt_ip6.c => 0    0
File   net/bridge/netfilter/Kconfig => 0    0
File   net/bridge/netfilter/nft_reject_bridge.c => 0    0
File   net/bridge/netfilter/ebt_stp.c => 0    0
File   net/bridge/netfilter/ebtable_broute.c => 0    0
File   net/bridge/netfilter/ebt_redirect.c => 0    0
File   net/bridge/netfilter/ebt_mark_m.c => 0    0
File   net/bridge/netfilter/ebt_802_3.c => 0    0
File   net/bridge/netfilter/ebt_vlan.c => 0    0
File   net/bridge/netfilter/ebtable_filter.c => 0    0
File   net/bridge/netfilter/ebt_among.c => 0    0
File   net/bridge/netfilter/ebt_mark.c => 0    0
File   net/bridge/netfilter/ebtable_nat.c => 0    0
File   net/bridge/netfilter/nf_conntrack_bridge.c => 0    1
File   net/bridge/netfilter/ebt_dnat.c => 0    0
File   net/bridge/netfilter/ebtables.c => 0    0
File   net/bridge/netfilter/ebt_pkttype.c => 0    0
File   net/bridge/netfilter/ebt_limit.c => 0    1
File   net/bridge/netfilter/ebt_arpreply.c => 0    0
  net/bridge/netfilter => 0    2
File   net/bridge/br_cfm_netlink.c => 0    0
File   net/bridge/br_private.h => 2    0
File   net/bridge/br_ioctl.c => 0    2
File   net/bridge/br_forward.c => 1    0
File   net/bridge/br_stp_bpdu.c => 0    1
File   net/bridge/br.c => 0    1
File   net/bridge/br_netlink.c => 0    2
File   net/bridge/br_cfm.c => 0    0
  net/bridge => 6    18
File   net/tls/Makefile => 0    0
File   net/tls/tls_device_fallback.c => 0    0
File   net/tls/Kconfig => 0    0
File   net/tls/tls_device.c => 0    0
File   net/tls/tls_main.c => 1    0
File   net/tls/tls_sw.c => 0    0
File   net/tls/tls_toe.c => 0    0
File   net/tls/trace.h => 0    0
File   net/tls/trace.c => 0    0
File   net/tls/tls_proc.c => 0    0
  net/tls => 1    0
File   net/compat.c => 0    2
File   net/802/garp.c => 0    0
File   net/802/fc.c => 1    2
File   net/802/Makefile => 0    0
File   net/802/p8022.c => 0    0
File   net/802/hippi.c => 1    8
File   net/802/Kconfig => 0    0
File   net/802/mrp.c => 0    0
File   net/802/psnap.c => 0    6
File   net/802/fddi.c => 1    3
File   net/802/stp.c => 0    0
File   net/802/p8023.c => 0    3
  net/802 => 3    22
File   net/rds/ib_recv.c => 0    13
File   net/rds/tcp_connect.c => 0    2
File   net/rds/rdma.c => 0    16
File   net/rds/Makefile => 0    0
File   net/rds/tcp.c => 0    1
File   net/rds/af_rds.c => 0    3
File   net/rds/ib_frmr.c => 0    0
File   net/rds/ib_rdma.c => 0    3
File   net/rds/rds.h => 1    13
File   net/rds/loop.c => 0    5
File   net/rds/Kconfig => 0    0
File   net/rds/rdma_transport.h => 0    0
File   net/rds/send.c => 0    26
File   net/rds/ib_sysctl.c => 0    1
File   net/rds/info.h => 0    1
File   net/rds/ib_mr.h => 0    0
File   net/rds/loop.h => 0    0
File   net/rds/tcp_stats.c => 0    0
File   net/rds/tcp_send.c => 0    3
File   net/rds/cong.c => 0    8
File   net/rds/sysctl.c => 0    0
File   net/rds/ib_cm.c => 0    16
File   net/rds/ib_stats.c => 0    0
File   net/rds/ib_ring.c => 0    4
File   net/rds/ib_send.c => 0    12
File   net/rds/bind.c => 0    1
File   net/rds/recv.c => 0    10
File   net/rds/page.c => 1    0
File   net/rds/info.c => 0    4
File   net/rds/ib.h => 0    2
File   net/rds/rds_single_path.h => 0    0
File   net/rds/tcp.h => 0    0
File   net/rds/stats.c => 0    1
File   net/rds/message.c => 0    6
File   net/rds/threads.c => 0    2
File   net/rds/ib.c => 0    6
File   net/rds/connection.c => 0    9
File   net/rds/tcp_recv.c => 0    5
File   net/rds/tcp_listen.c => 0    1
File   net/rds/transport.c => 0    1
File   net/rds/rdma_transport.c => 0    1
  net/rds => 2    176
File   net/ipv6/rpl_iptunnel.c => 0    0
File   net/ipv6/ip6_fib.c => 0    35
File   net/ipv6/ping.c => 0    0
File   net/ipv6/addrconf.c => 1    34
File   net/ipv6/ip6_vti.c => 14    0
File   net/ipv6/ip6_flowlabel.c => 0    1
File   net/ipv6/mcast_snoop.c => 1    0
File   net/ipv6/exthdrs.c => 7    7
File   net/ipv6/xfrm6_state.c => 0    0
File   net/ipv6/ip6_udp_tunnel.c => 0    0
File   net/ipv6/netfilter.c => 0    0
File   net/ipv6/Makefile => 0    0
File   net/ipv6/xfrm6_protocol.c => 0    0
File   net/ipv6/seg6.c => 0    0
File   net/ipv6/sit.c => 0    4
File   net/ipv6/protocol.c => 0    1
File   net/ipv6/anycast.c => 1    6
File   net/ipv6/udp_offload.c => 0    0
File   net/ipv6/ip6_output.c => 4    26
File   net/ipv6/ip6_tunnel.c => 19    1
File   net/ipv6/xfrm6_input.c => 0    0
File   net/ipv6/calipso.c => 34    0
File   net/ipv6/ip6_offload.c => 0    0
File   net/ipv6/raw.c => 0    9
File   net/ipv6/reassembly.c => 0    2
File   net/ipv6/mcast.c => 3    14
File   net/ipv6/Kconfig => 0    0
File   net/ipv6/ip6_checksum.c => 0    0
File   net/ipv6/exthdrs_core.c => 0    4
File   net/ipv6/xfrm6_output.c => 0    0
File   net/ipv6/proc.c => 0    0
File   net/ipv6/esp6.c => 0    3
File   net/ipv6/tcpv6_offload.c => 0    0
File   net/ipv6/exthdrs_offload.c => 0    0
File   net/ipv6/tcp_ipv6.c => 0    9
File   net/ipv6/seg6_local.c => 0    0
File   net/ipv6/inet6_hashtables.c => 0    1
File   net/ipv6/xfrm6_tunnel.c => 0    1
File   net/ipv6/xfrm6_policy.c => 0    0
File   net/ipv6/udplite.c => 0    0
File   net/ipv6/ah6.c => 2    2
File   net/ipv6/fib6_rules.c => 0    1
File   net/ipv6/udp_impl.h => 0    0
File   net/ipv6/mip6.c => 0    4
File   net/ipv6/addrconf_core.c => 0    0
File   net/ipv6/output_core.c => 0    0
File   net/ipv6/rpl.c => 0    0
File   net/ipv6/seg6_iptunnel.c => 0    0
File   net/ipv6/ip6_gre.c => 1    2
File   net/ipv6/ipv6_sockglue.c => 0    2
File   net/ipv6/udp.c => 1    14
File   net/ipv6/netfilter/nf_tproxy_ipv6.c => 0    0
File   net/ipv6/netfilter/nf_defrag_ipv6_hooks.c => 0    0
File   net/ipv6/netfilter/Makefile => 0    0
File   net/ipv6/netfilter/ip6table_raw.c => 0    0
File   net/ipv6/netfilter/nf_conntrack_reasm.c => 0    2
File   net/ipv6/netfilter/ip6t_rpfilter.c => 0    0
File   net/ipv6/netfilter/ip6t_NPT.c => 0    0
File   net/ipv6/netfilter/ip6t_SYNPROXY.c => 0    0
File   net/ipv6/netfilter/Kconfig => 0    0
File   net/ipv6/netfilter/ip6t_hbh.c => 0    1
File   net/ipv6/netfilter/ip6table_nat.c => 0    0
File   net/ipv6/netfilter/ip6_tables.c => 0    0
File   net/ipv6/netfilter/nf_socket_ipv6.c => 0    0
File   net/ipv6/netfilter/nf_flow_table_ipv6.c => 0    0
File   net/ipv6/netfilter/nf_reject_ipv6.c => 0    0
File   net/ipv6/netfilter/nf_log_ipv6.c => 0    2
File   net/ipv6/netfilter/nft_reject_ipv6.c => 0    0
File   net/ipv6/netfilter/ip6t_srh.c => 5    0
File   net/ipv6/netfilter/ip6t_mh.c => 0    0
File   net/ipv6/netfilter/nft_dup_ipv6.c => 0    0
File   net/ipv6/netfilter/ip6t_REJECT.c => 0    0
File   net/ipv6/netfilter/ip6table_mangle.c => 0    0
File   net/ipv6/netfilter/ip6t_ah.c => 0    0
File   net/ipv6/netfilter/nf_dup_ipv6.c => 0    0
File   net/ipv6/netfilter/ip6t_frag.c => 0    0
File   net/ipv6/netfilter/ip6table_filter.c => 0    0
File   net/ipv6/netfilter/ip6t_rt.c => 0    0
File   net/ipv6/netfilter/ip6table_security.c => 0    0
File   net/ipv6/netfilter/ip6t_ipv6header.c => 0    0
File   net/ipv6/netfilter/ip6t_eui64.c => 0    0
File   net/ipv6/netfilter/nft_fib_ipv6.c => 0    0
  net/ipv6/netfilter => 5    5
File   net/ipv6/af_inet6.c => 1    5
File   net/ipv6/addrlabel.c => 0    3
File   net/ipv6/ndisc.c => 0    21
File   net/ipv6/ip6mr.c => 0    22
File   net/ipv6/ip6_offload.h => 0    0
File   net/ipv6/ip6_icmp.c => 0    0
File   net/ipv6/fou6.c => 0    0
File   net/ipv6/route.c => 1    11
File   net/ipv6/ipcomp6.c => 0    1
File   net/ipv6/tunnel6.c => 0    0
File   net/ipv6/sysctl_net_ipv6.c => 0    0
File   net/ipv6/fib6_notifier.c => 0    0
File   net/ipv6/esp6_offload.c => 0    0
File   net/ipv6/syncookies.c => 0    1
File   net/ipv6/ila/ila_common.c => 0    0
File   net/ipv6/ila/Makefile => 0    0
File   net/ipv6/ila/ila_main.c => 0    0
File   net/ipv6/ila/ila_xlat.c => 0    0
File   net/ipv6/ila/ila.h => 0    0
File   net/ipv6/ila/ila_lwt.c => 0    0
  net/ipv6/ila => 0    0
File   net/ipv6/seg6_hmac.c => 0    0
File   net/ipv6/inet6_connection_sock.c => 0    0
File   net/ipv6/ip6_input.c => 1    7
File   net/ipv6/datagram.c => 0    5
File   net/ipv6/icmp.c => 0    16
  net/ipv6 => 91    275
File   net/devres.c => 1    0
File   net/wireless/chan.c => 0    11
File   net/wireless/mlme.c => 0    5
